epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.0315,0.69256,0.5,1,0.69822,0.00018337,0.00018337,0.00018337
2,29.3153,0.69017,0.5,1,0.75426,0.000368227,0.000368227,0.000368227
3,43.3096,0.68683,0.5,1,0.69231,0.000537241,0.000537241,0.000537241
4,57.3721,0.68936,0.625,1,0.62688,0.000690411,0.000690411,0.000690411
5,71.1975,0.66533,0.70833,1,0.59398,0.000827739,0.000827739,0.000827739
6,85.8609,0.60984,0.58333,1,0.61758,0.000949223,0.000949223,0.000949223
7,99.9814,0.62135,0.625,1,0.59625,0.00105486,0.00105486,0.00105486
8,114.131,0.5697,0.66667,1,0.59786,0.00114466,0.00114466,0.00114466
9,128.232,0.56623,0.70833,1,0.61003,0.00113889,0.00113889,0.00113889
10,141.939,0.57338,0.66667,1,0.55277,0.00107288,0.00107288,0.00107288
