epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.4339,0.69087,0.51163,1,0.68042,0.000550165,0.000550165,0.000550165
2,55.0911,0.67789,0.55814,1,0.65379,0.00105109,0.00105109,0.00105109
3,82.0628,0.65999,0.7907,1,0.54042,0.00149701,0.00149701,0.00149701
4,109.421,0.61268,0.51163,1,0.66754,0.00141945,0.00141945,0.00141945
5,136.682,0.6033,0.76744,1,0.46467,0.00133693,0.00133693,0.00133693
6,163.8,0.61247,0.88372,1,0.31508,0.00125442,0.00125442,0.00125442
7,191.852,0.53308,0.88372,1,0.30538,0.0011719,0.0011719,0.0011719
8,220.898,0.52335,0.86047,1,0.2751,0.00108938,0.00108938,0.00108938
9,250.755,0.49142,0.88372,1,0.22496,0.00100687,0.00100687,0.00100687
10,279.734,0.48128,0.95349,1,0.16329,0.000924352,0.000924352,0.000924352
11,309.285,0.52447,0.93023,1,0.2128,0.000841835,0.000841835,0.000841835
12,338.251,0.42955,0.93023,1,0.1965,0.000759318,0.000759318,0.000759318
13,367.213,0.40648,0.86047,1,0.25603,0.000676802,0.000676802,0.000676802
14,396.113,0.44832,0.88372,1,0.23991,0.000594286,0.000594286,0.000594286
15,424.928,0.35207,0.90698,1,0.20484,0.000511769,0.000511769,0.000511769
16,453.743,0.31806,0.90698,1,0.20459,0.000429253,0.000429253,0.000429253
17,482.415,0.32409,0.97674,1,0.17577,0.000346736,0.000346736,0.000346736
18,511.223,0.29269,0.93023,1,0.17324,0.00026422,0.00026422,0.00026422
19,540.877,0.283,0.95349,1,0.136,0.000181703,0.000181703,0.000181703
20,569.952,0.27181,0.95349,1,0.12506,9.91865e-05,9.91865e-05,9.91865e-05
