epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3823,1.81281,3.55845,1.78027,0.39167,0.76935,0.45263,0.26757,1.4636,2.78103,1.43366,0.000328358,0.000328358,0.000328358
2,146.499,1.53758,2.16072,1.4557,0.34697,0.72058,0.39007,0.22981,1.63034,2.61119,1.5228,0.000635489,0.000635489,0.000635489
3,221.161,1.50061,1.9601,1.38837,0.57811,0.68616,0.49478,0.27206,1.54202,1.83405,1.46675,0.000916219,0.000916219,0.000916219
4,299.608,1.48225,1.78366,1.35585,0.40555,0.7789,0.58495,0.28848,1.549,1.75492,1.43576,0.0008812,0.0008812,0.0008812
5,377.708,1.40015,1.70376,1.34723,0.44258,0.85488,0.58857,0.32263,1.46776,1.62962,1.37394,0.0008416,0.0008416,0.0008416
6,455.994,1.41131,1.5872,1.31901,0.47599,0.90089,0.61533,0.34511,1.45802,1.46498,1.37819,0.000802,0.000802,0.000802
7,533.228,1.41643,1.44834,1.28829,0.47691,0.94643,0.51898,0.31967,1.28827,1.31764,1.27365,0.0007624,0.0007624,0.0007624
8,610.148,1.31061,1.38978,1.26102,0.48024,0.94146,0.51054,0.30618,1.39197,1.33914,1.33737,0.0007228,0.0007228,0.0007228
9,687.4,1.35402,1.36985,1.26206,0.48761,0.96528,0.52881,0.31482,1.34714,1.26359,1.28911,0.0006832,0.0006832,0.0006832
10,765.715,1.36368,1.31256,1.25135,0.48482,0.96726,0.57162,0.33176,1.37536,1.26337,1.32846,0.0006436,0.0006436,0.0006436
11,842.15,1.31543,1.32631,1.23043,0.49327,0.95685,0.59243,0.36586,1.29289,1.25058,1.2827,0.000604,0.000604,0.000604
12,920.035,1.2719,1.28141,1.22582,0.49137,0.97248,0.61515,0.36976,1.31524,1.18538,1.29376,0.0005644,0.0005644,0.0005644
13,1000.04,1.26781,1.27353,1.22421,0.5046,0.92113,0.65553,0.39574,1.33036,1.15008,1.2825,0.0005248,0.0005248,0.0005248
14,1077.44,1.24557,1.24307,1.19076,0.51112,0.96446,0.6519,0.39011,1.37061,1.15015,1.30847,0.0004852,0.0004852,0.0004852
15,1155.6,1.24717,1.21499,1.2288,0.49284,0.98958,0.67624,0.39552,1.39585,1.14088,1.35181,0.0004456,0.0004456,0.0004456
16,1236.02,1.19658,1.19387,1.17825,0.49675,0.98958,0.65576,0.41341,1.29366,1.13837,1.26677,0.000406,0.000406,0.000406
17,1316.55,1.17269,1.14083,1.147,0.46766,0.97768,0.61595,0.40049,1.25581,1.11321,1.25111,0.0003664,0.0003664,0.0003664
18,1395.17,1.16057,1.12329,1.14971,0.48362,0.9745,0.56811,0.36962,1.2267,1.09153,1.23876,0.0003268,0.0003268,0.0003268
19,1473.06,1.12735,1.1077,1.16086,0.4792,0.98727,0.57439,0.36338,1.27636,1.09542,1.25484,0.0002872,0.0002872,0.0002872
20,1552.07,1.15169,1.10131,1.15891,0.48527,0.97768,0.56698,0.36441,1.25632,1.08388,1.25649,0.0002476,0.0002476,0.0002476
21,1630.87,1.11089,1.09316,1.13736,0.48235,0.97768,0.55687,0.37239,1.16675,1.07889,1.21613,0.000208,0.000208,0.000208
22,1708.59,1.09206,1.07442,1.13094,0.47872,0.97768,0.55366,0.3628,1.18911,1.07615,1.22626,0.0001684,0.0001684,0.0001684
23,1787.1,1.08759,1.07202,1.16,0.48488,0.97531,0.5807,0.38805,1.18387,1.06503,1.21971,0.0001288,0.0001288,0.0001288
24,1864.03,1.08848,1.04559,1.11572,0.49056,0.97423,0.5645,0.38135,1.17454,1.05372,1.21649,8.92e-05,8.92e-05,8.92e-05
25,1943.1,1.08388,1.04082,1.11665,0.49445,0.96812,0.56254,0.37989,1.17598,1.05104,1.22367,4.96e-05,4.96e-05,4.96e-05
