epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7541,1.71229,2.38684,1.75459,0.71588,0.70072,0.7097,0.40152,1.40607,1.84805,1.42927,0.000469224,0.000469224,0.000469224
2,145.963,1.52277,1.59636,1.55311,0.75952,0.76502,0.77759,0.41932,1.63976,1.60424,1.67733,0.000898752,0.000898752,0.000898752
3,221.769,1.54737,1.65399,1.50994,0.71976,0.96757,0.91736,0.50215,1.54517,4.86959,1.51312,0.00128112,0.00128112,0.00128112
4,301.582,1.64065,1.63732,1.46765,0.96667,0.62343,0.86055,0.46223,1.63101,1.65355,1.52173,0.00121679,0.00121679,0.00121679
5,380.724,1.605,1.46514,1.44505,0.78012,0.83574,0.91631,0.42194,1.76961,1.43695,1.61609,0.00114606,0.00114606,0.00114606
6,461.107,1.50567,1.17541,1.38639,0.94764,0.94555,0.98156,0.57265,1.39243,0.90243,1.34592,0.00107532,0.00107532,0.00107532
7,539.67,1.42175,1.02173,1.33533,0.93698,0.93534,0.94835,0.54344,1.41896,0.93422,1.3579,0.00100459,0.00100459,0.00100459
8,618.317,1.40569,0.98492,1.35014,0.94462,0.95856,0.98149,0.58153,1.34291,0.81672,1.3313,0.000933851,0.000933851,0.000933851
9,695.135,1.36583,0.93773,1.30988,0.89948,0.98455,0.97372,0.57978,1.38611,0.88953,1.33896,0.000863116,0.000863116,0.000863116
10,772.424,1.34697,0.89797,1.27786,0.96033,0.9894,0.97572,0.57475,1.37031,0.79407,1.32744,0.00079238,0.00079238,0.00079238
11,850.339,1.30904,0.85717,1.2881,0.95246,0.95936,0.97302,0.58826,1.3131,0.77206,1.29121,0.000721645,0.000721645,0.000721645
12,929.303,1.25137,0.76505,1.2224,0.94234,0.93169,0.96479,0.54707,1.40082,0.78397,1.32029,0.000650909,0.000650909,0.000650909
13,1008.21,1.24838,0.7476,1.22211,0.96761,0.95593,0.97043,0.61594,1.23282,0.69993,1.25124,0.000580174,0.000580174,0.000580174
14,1085.66,1.23943,0.71414,1.21811,0.9606,0.97917,0.97392,0.60627,1.2707,0.72754,1.27202,0.000509438,0.000509438,0.000509438
15,1164.81,1.20022,0.69302,1.19032,0.95637,0.97965,0.98377,0.61707,1.28317,0.6821,1.27097,0.000438703,0.000438703,0.000438703
16,1245.07,1.19255,0.66412,1.21838,0.97889,0.96633,0.97772,0.62745,1.29228,0.66271,1.27963,0.000367967,0.000367967,0.000367967
17,1326.95,1.15543,0.62827,1.15455,0.96168,0.98501,0.98156,0.62592,1.22832,0.63637,1.25012,0.000297232,0.000297232,0.000297232
18,1406.05,1.14065,0.62187,1.16959,0.97579,0.98202,0.98125,0.64385,1.17862,0.61552,1.21364,0.000226497,0.000226497,0.000226497
19,1485.85,1.11256,0.60186,1.14975,0.97812,0.9644,0.98064,0.65072,1.16473,0.60533,1.21327,0.000155761,0.000155761,0.000155761
20,1566.05,1.11964,0.60034,1.15442,0.98093,0.963,0.98103,0.65007,1.16978,0.60035,1.21359,8.50255e-05,8.50255e-05,8.50255e-05
