epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.842,1.99538,3.19937,1.91659,0.66691,0.33207,0.40562,0.2232,2.04296,5.38603,1.83582,0.00032219,0.00032219,0.00032219
2,242.97,1.64857,2.06342,1.60024,0.52789,0.43012,0.41718,0.20448,1.94974,2.49667,1.75666,0.000633859,0.000633859,0.000633859
3,314.215,1.59869,1.91888,1.57061,0.6931,0.46192,0.47981,0.25476,1.86637,2.20703,1.72734,0.00092353,0.00092353,0.00092353
4,387.107,1.44695,1.90471,1.41007,0.77242,0.67299,0.79621,0.37777,1.82246,2.03186,1.76867,0.00100101,0.00100101,0.00100101
5,460.896,1.63069,1.62893,1.49203,0.87808,0.60446,0.68117,0.30873,1.74177,2.0964,1.55804,0.000964348,0.000964348,0.000964348
6,533.127,1.52607,1.3684,1.44057,0.7259,0.8826,0.8316,0.42358,1.68813,1.29054,1.5914,0.000927685,0.000927685,0.000927685
7,604.073,1.43464,1.19999,1.3529,0.82282,0.88319,0.9216,0.49255,1.55923,1.41099,1.50598,0.000891022,0.000891022,0.000891022
8,677.563,1.50182,1.23064,1.42778,0.78446,0.82446,0.89893,0.47662,1.56397,1.14439,1.50298,0.000854359,0.000854359,0.000854359
9,749.096,1.50428,1.15375,1.41313,0.9156,0.81073,0.92056,0.49102,1.54448,1.08851,1.43081,0.000817696,0.000817696,0.000817696
10,820.248,1.38494,1.02476,1.32062,0.91348,0.80735,0.94896,0.52395,1.53879,1.10825,1.44092,0.000781033,0.000781033,0.000781033
11,891.271,1.36209,0.99932,1.34781,0.88839,0.92886,0.9452,0.51345,1.57591,0.97142,1.5002,0.00074437,0.00074437,0.00074437
12,961.738,1.38825,1.01841,1.37057,0.88873,0.88853,0.93282,0.50289,1.54351,0.98409,1.45522,0.000707707,0.000707707,0.000707707
13,1032.89,1.35366,0.91062,1.28835,0.94465,0.9163,0.93935,0.51344,1.53208,0.87887,1.46436,0.000671044,0.000671044,0.000671044
14,1104.33,1.32901,0.9112,1.31218,0.92007,0.88313,0.93408,0.49883,1.58386,0.931,1.50686,0.000634381,0.000634381,0.000634381
15,1175.52,1.34734,0.92167,1.30373,0.94447,0.93946,0.95822,0.529,1.53293,0.85671,1.48548,0.000597718,0.000597718,0.000597718
16,1249.84,1.33897,0.85406,1.35778,0.94938,0.92702,0.95101,0.51678,1.51671,0.81742,1.48219,0.000561055,0.000561055,0.000561055
17,1322.93,1.28486,0.81622,1.2951,0.92281,0.93515,0.97037,0.54731,1.43202,0.78284,1.40864,0.000524392,0.000524392,0.000524392
18,1394.54,1.27806,0.81697,1.29884,0.93856,0.95182,0.96338,0.56138,1.45768,0.76675,1.40341,0.000487729,0.000487729,0.000487729
19,1466.6,1.18988,0.75252,1.2437,0.94168,0.95182,0.96093,0.54568,1.44725,0.79157,1.42563,0.000451066,0.000451066,0.000451066
20,1536.92,1.17647,0.75505,1.2614,0.90519,0.91623,0.95778,0.54223,1.50061,0.78714,1.46197,0.000414403,0.000414403,0.000414403
21,1609.73,1.18043,0.74885,1.23239,0.8634,0.96104,0.94626,0.5356,1.5307,0.74365,1.48548,0.00037774,0.00037774,0.00037774
22,1680.22,1.14175,0.68502,1.19027,0.91038,0.94384,0.96143,0.53351,1.50322,0.71857,1.49395,0.000341077,0.000341077,0.000341077
23,1752.24,1.12659,0.66861,1.22365,0.89609,0.88652,0.91132,0.53837,1.52169,0.73299,1.48828,0.000304414,0.000304414,0.000304414
24,1823.1,1.11648,0.6473,1.18275,0.92575,0.91611,0.92581,0.53472,1.53149,0.72488,1.49476,0.000267751,0.000267751,0.000267751
25,1894.95,1.14084,0.66925,1.23268,0.96223,0.94757,0.96285,0.54905,1.48605,0.71575,1.43043,0.000231088,0.000231088,0.000231088
26,1965.06,1.1175,0.62472,1.17766,0.96332,0.94772,0.96771,0.56174,1.44476,0.71455,1.41885,0.000194425,0.000194425,0.000194425
27,2037.37,1.06764,0.61624,1.17295,0.98109,0.9617,0.97789,0.57493,1.42131,0.6764,1.39761,0.000157762,0.000157762,0.000157762
28,2109.87,1.07636,0.60483,1.16352,0.94528,0.92973,0.9423,0.5721,1.4346,0.67459,1.41688,0.000121099,0.000121099,0.000121099
29,2179.91,1.0728,0.60919,1.17191,0.98148,0.95139,0.98007,0.5733,1.42,0.67142,1.39832,8.4436e-05,8.4436e-05,8.4436e-05
30,2250,1.04796,0.59216,1.15554,0.98422,0.95188,0.98038,0.57717,1.41271,0.67035,1.39531,4.7773e-05,4.7773e-05,4.7773e-05
